[2024-12-22T00:00:01.488+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-22T00:00:01.510+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_and_insert_news.fetch_and_insert_news_all_countries scheduled__2024-12-21T00:00:00+00:00 [queued]>
[2024-12-22T00:00:01.521+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_and_insert_news.fetch_and_insert_news_all_countries scheduled__2024-12-21T00:00:00+00:00 [queued]>
[2024-12-22T00:00:01.522+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-12-22T00:00:01.544+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): fetch_and_insert_news_all_countries> on 2024-12-21 00:00:00+00:00
[2024-12-22T00:00:01.552+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=27755) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-22T00:00:01.554+0000] {standard_task_runner.py:72} INFO - Started process 27757 to run task
[2024-12-22T00:00:01.556+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'fetch_and_insert_news', 'fetch_and_insert_news_all_countries', 'scheduled__2024-12-21T00:00:00+00:00', '--job-id', '21', '--raw', '--subdir', 'DAGS_FOLDER/snowflake_connector_dag.py', '--cfg-path', '/tmp/tmpy8r22yvf']
[2024-12-22T00:00:01.559+0000] {standard_task_runner.py:105} INFO - Job 21: Subtask fetch_and_insert_news_all_countries
[2024-12-22T00:00:01.621+0000] {task_command.py:467} INFO - Running <TaskInstance: fetch_and_insert_news.fetch_and_insert_news_all_countries scheduled__2024-12-21T00:00:00+00:00 [running]> on host 4fe538676cbc
[2024-12-22T17:27:20.821+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-04-18 to 2020-04-19 for SZ...
[2024-12-22T17:27:24.708+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:27:29.709+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-04-19 to 2020-04-20 for SZ...
[2024-12-22T17:27:32.289+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:27:37.291+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-04-20 to 2020-04-21 for SZ...
[2024-12-22T17:27:39.927+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:27:44.929+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-04-21 to 2020-04-22 for SZ...
[2024-12-22T17:27:47.819+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:27:52.818+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-04-22 to 2020-04-23 for SZ...
[2024-12-22T17:27:55.522+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:28:00.523+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-04-23 to 2020-04-24 for SZ...
[2024-12-22T17:28:03.252+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:28:08.254+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-04-24 to 2020-04-25 for SZ...
[2024-12-22T17:28:12.328+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:28:17.330+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-04-25 to 2020-04-26 for SZ...
[2024-12-22T17:28:20.712+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:28:25.712+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-04-26 to 2020-04-27 for SZ...
[2024-12-22T17:28:28.330+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:28:33.331+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-04-27 to 2020-04-28 for SZ...
[2024-12-22T17:28:36.260+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:28:41.262+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-04-28 to 2020-04-29 for SZ...
[2024-12-22T17:28:44.176+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:28:49.178+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-04-29 to 2020-04-30 for SZ...
[2024-12-22T17:29:01.152+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:34:06.135+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-04-30 to 2020-05-01 for SZ...
[2024-12-22T17:34:12.025+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:34:17.027+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-01 to 2020-05-02 for SZ...
[2024-12-22T17:34:20.025+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:34:25.025+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-02 to 2020-05-03 for SZ...
[2024-12-22T17:34:30.269+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:34:35.270+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-03 to 2020-05-04 for SZ...
[2024-12-22T17:34:39.911+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:34:44.913+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-04 to 2020-05-05 for SZ...
[2024-12-22T17:34:47.776+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:34:52.778+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-05 to 2020-05-06 for SZ...
[2024-12-22T17:34:55.573+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:35:00.574+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-06 to 2020-05-07 for SZ...
[2024-12-22T17:35:04.172+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:35:09.174+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-07 to 2020-05-08 for SZ...
[2024-12-22T17:35:11.866+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:35:16.868+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-08 to 2020-05-09 for SZ...
[2024-12-22T17:35:20.113+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:35:25.112+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-09 to 2020-05-10 for SZ...
[2024-12-22T17:35:28.648+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:35:33.649+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-10 to 2020-05-11 for SZ...
[2024-12-22T17:35:36.167+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:35:41.168+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-11 to 2020-05-12 for SZ...
[2024-12-22T17:35:44.127+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:35:49.130+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-12 to 2020-05-13 for SZ...
[2024-12-22T17:35:51.805+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:35:56.804+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-13 to 2020-05-14 for SZ...
[2024-12-22T17:35:59.477+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:36:04.479+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-14 to 2020-05-15 for SZ...
[2024-12-22T17:36:13.406+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:36:18.408+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-15 to 2020-05-16 for SZ...
[2024-12-22T17:36:21.319+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:36:26.318+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-16 to 2020-05-17 for SZ...
[2024-12-22T17:36:32.897+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:36:37.898+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-17 to 2020-05-18 for SZ...
[2024-12-22T17:36:40.434+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:36:45.435+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-18 to 2020-05-19 for SZ...
[2024-12-22T17:36:50.102+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:36:55.103+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-19 to 2020-05-20 for SZ...
[2024-12-22T17:36:57.734+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:37:02.735+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-20 to 2020-05-21 for SZ...
[2024-12-22T17:37:05.342+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:37:10.344+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-21 to 2020-05-22 for SZ...
[2024-12-22T17:37:14.535+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:37:19.537+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-22 to 2020-05-23 for SZ...
[2024-12-22T17:37:22.092+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:37:27.091+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-23 to 2020-05-24 for SZ...
[2024-12-22T17:37:30.097+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:37:35.099+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-24 to 2020-05-25 for SZ...
[2024-12-22T17:37:37.893+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:37:42.896+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-25 to 2020-05-26 for SZ...
[2024-12-22T17:37:45.737+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:37:50.739+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-26 to 2020-05-27 for SZ...
[2024-12-22T17:37:55.096+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:38:00.097+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-27 to 2020-05-28 for SZ...
[2024-12-22T17:38:03.902+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:38:08.903+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-28 to 2020-05-29 for SZ...
[2024-12-22T17:38:11.569+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:38:16.570+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-29 to 2020-05-30 for SZ...
[2024-12-22T17:38:19.254+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:43:24.234+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-30 to 2020-05-31 for SZ...
[2024-12-22T17:43:27.553+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:43:32.555+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-05-31 to 2020-06-01 for SZ...
[2024-12-22T17:43:35.621+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:43:40.622+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-01 to 2020-06-02 for SZ...
[2024-12-22T17:43:43.507+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:43:48.508+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-02 to 2020-06-03 for SZ...
[2024-12-22T17:43:51.253+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:43:56.252+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-03 to 2020-06-04 for SZ...
[2024-12-22T17:43:59.639+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:44:04.641+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-04 to 2020-06-05 for SZ...
[2024-12-22T17:44:08.098+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:44:13.099+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-05 to 2020-06-06 for SZ...
[2024-12-22T17:44:15.974+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:44:20.976+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-06 to 2020-06-07 for SZ...
[2024-12-22T17:44:24.130+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:44:29.132+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-07 to 2020-06-08 for SZ...
[2024-12-22T17:44:32.334+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:44:37.336+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-08 to 2020-06-09 for SZ...
[2024-12-22T17:44:40.419+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:44:45.421+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-09 to 2020-06-10 for SZ...
[2024-12-22T17:44:48.539+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:44:53.537+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-10 to 2020-06-11 for SZ...
[2024-12-22T17:44:56.478+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:45:01.479+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-11 to 2020-06-12 for SZ...
[2024-12-22T17:45:04.678+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:45:09.680+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-12 to 2020-06-13 for SZ...
[2024-12-22T17:45:12.383+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:45:17.384+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-13 to 2020-06-14 for SZ...
[2024-12-22T17:45:20.262+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:45:25.262+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-14 to 2020-06-15 for SZ...
[2024-12-22T17:45:28.205+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:45:33.207+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-15 to 2020-06-16 for SZ...
[2024-12-22T17:45:36.519+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:45:41.521+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-16 to 2020-06-17 for SZ...
[2024-12-22T17:45:45.391+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:45:50.392+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-17 to 2020-06-18 for SZ...
[2024-12-22T17:45:53.726+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:45:58.729+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-18 to 2020-06-19 for SZ...
[2024-12-22T17:46:02.230+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:46:07.231+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-19 to 2020-06-20 for SZ...
[2024-12-22T17:46:14.485+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:46:19.486+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-20 to 2020-06-21 for SZ...
[2024-12-22T17:46:23.964+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:46:28.965+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-21 to 2020-06-22 for SZ...
[2024-12-22T17:46:31.932+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:46:36.933+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-22 to 2020-06-23 for SZ...
[2024-12-22T17:46:39.637+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:46:44.638+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-23 to 2020-06-24 for SZ...
[2024-12-22T17:46:47.913+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:46:52.913+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-24 to 2020-06-25 for SZ...
[2024-12-22T17:46:55.740+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:47:00.742+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-25 to 2020-06-26 for SZ...
[2024-12-22T17:47:03.834+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:47:08.836+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-26 to 2020-06-27 for SZ...
[2024-12-22T17:47:11.805+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:47:16.807+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-27 to 2020-06-28 for SZ...
[2024-12-22T17:47:19.832+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:47:24.832+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-28 to 2020-06-29 for SZ...
[2024-12-22T17:47:27.413+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:47:32.414+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-29 to 2020-06-30 for SZ...
[2024-12-22T17:47:35.544+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:52:40.524+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-06-30 to 2020-07-01 for SZ...
[2024-12-22T17:52:43.691+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:52:48.693+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-01 to 2020-07-02 for SZ...
[2024-12-22T17:52:51.308+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:52:56.307+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-02 to 2020-07-03 for SZ...
[2024-12-22T17:52:59.021+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:53:04.023+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-03 to 2020-07-04 for SZ...
[2024-12-22T17:53:06.637+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:53:11.639+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-04 to 2020-07-05 for SZ...
[2024-12-22T17:53:14.643+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:53:19.644+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-05 to 2020-07-06 for SZ...
[2024-12-22T17:53:22.252+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:53:27.251+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-06 to 2020-07-07 for SZ...
[2024-12-22T17:53:30.014+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:53:35.015+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-07 to 2020-07-08 for SZ...
[2024-12-22T17:53:37.646+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:53:42.648+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-08 to 2020-07-09 for SZ...
[2024-12-22T17:53:45.174+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:53:50.175+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-09 to 2020-07-10 for SZ...
[2024-12-22T17:53:52.781+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:53:57.780+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-10 to 2020-07-11 for SZ...
[2024-12-22T17:54:00.323+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:54:05.325+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-11 to 2020-07-12 for SZ...
[2024-12-22T17:54:08.601+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:54:13.603+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-12 to 2020-07-13 for SZ...
[2024-12-22T17:54:16.150+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:54:21.152+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-13 to 2020-07-14 for SZ...
[2024-12-22T17:54:23.865+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:54:28.867+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-14 to 2020-07-15 for SZ...
[2024-12-22T17:54:33.580+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:54:38.582+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-15 to 2020-07-16 for SZ...
[2024-12-22T17:54:41.285+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:54:46.286+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-16 to 2020-07-17 for SZ...
[2024-12-22T17:54:49.527+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:54:54.527+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-17 to 2020-07-18 for SZ...
[2024-12-22T17:54:57.198+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:55:02.199+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-18 to 2020-07-19 for SZ...
[2024-12-22T17:55:04.833+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:55:09.835+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-19 to 2020-07-20 for SZ...
[2024-12-22T17:55:12.547+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:55:17.548+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-20 to 2020-07-21 for SZ...
[2024-12-22T17:55:20.470+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:55:25.469+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-21 to 2020-07-22 for SZ...
[2024-12-22T17:55:28.186+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:55:33.187+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-22 to 2020-07-23 for SZ...
[2024-12-22T17:55:35.982+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:55:40.984+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-23 to 2020-07-24 for SZ...
[2024-12-22T17:55:43.918+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:55:48.920+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-24 to 2020-07-25 for SZ...
[2024-12-22T17:55:51.699+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:55:56.697+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-25 to 2020-07-26 for SZ...
[2024-12-22T17:55:59.508+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:56:04.510+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-26 to 2020-07-27 for SZ...
[2024-12-22T17:56:07.184+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:56:12.185+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-27 to 2020-07-28 for SZ...
[2024-12-22T17:56:14.934+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:56:19.935+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-28 to 2020-07-29 for SZ...
[2024-12-22T17:56:22.503+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T17:56:27.503+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-29 to 2020-07-30 for SZ...
[2024-12-22T17:56:30.146+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T18:01:35.127+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-30 to 2020-07-31 for SZ...
[2024-12-22T18:01:41.263+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T18:01:46.264+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-07-31 to 2020-08-01 for SZ...
[2024-12-22T18:01:49.289+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T18:01:54.289+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-08-01 to 2020-08-02 for SZ...
[2024-12-22T18:01:57.136+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T18:02:02.138+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-08-02 to 2020-08-03 for SZ...
[2024-12-22T18:02:04.802+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for SZ.
[2024-12-22T18:02:09.804+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-08-03 to 2020-08-04 for SZ...
